COUNTRY,CONTI-NENT,CODE,UNIVERSITY/ORGANIZATION,FORMER/ OTHER NAMES,ABBRE-VIATION,FACULTY/ DEPARTMENT,SIGNING,EXPIRY,"EXPIRY
CHECK",LEVEL OF COOPERATION,TYPE OF COOPERATION,NOTE,UPDATED
FRANCE,Europe,FR044-2016A261,Audencia Business School,,,,4-Nov-2016,auto renew,,Faculty of Commerce and Accountancy,General Cooperation,,25-Jan-19
FRANCE,Europe,FR002-1987A001,"Bordeaux I, University of ",,,,11-Jun-1987,unlimited,1,University,General Cooperation,Materials and Energy Saving,9-Sep-15
FRANCE,Europe,FR003-2003A001,Centre de Cooperation Internationale en Recherche Agronomique pour le Développement (CIRAD),,,,22-Dec-2003,21-Dec-2008,1,University,General Cooperation,,9-Sep-15
FRANCE,Europe,FR004-1991A001,Conservatoire National des Arts et Métiers,,,,22-Nov-1991,auto renew,1,University,General Cooperation,,9-Sep-15
FRANCE,Europe,FR005-2014B251,Ecole Bleue,,,,4-Jul-2014,auto renew,1,Faculty of Architecture,Student Exchange,,8-Jun-16
FRANCE,Europe,FR006-2014B211,Ecole Catholique d'Art et Metiers,,ECAM,Graduate School of Engineering,20-May-2014,19-May-2019,1,Faculty of Engineering,Student Exchange,,9-Sep-15
FRANCE,Europe,FR007-1989A251,Ecole d’architecture de Paris-Villemin,,,,27-Feb-1989,26-Feb-1994,0,Faculty of Architecture,General Cooperation,,9-Sep-15
FRANCE,Europe,FR007-1994A001,Ecole d’architecture de Paris-Villemin,,,,1-Oct-1994,31-Jan-2000,0,University,General Cooperation,For the Faculty of Architecture,9-Sep-15
FRANCE,Europe,FR008-2014A251,Ecole Nationale Supérieure d'Architecture de Paris-Belleville,,,,12-May-2014,11-May-2019,1,Faculty of Architecture,General Cooperation,,9-Sep-15
FRANCE,Europe,,Ecole Nationale Supérieure d'Architecture de Paris-Belleville,,,,11-Jan-2019,10-Jan-2024,,Faculty of Architecture,General Cooperation,,30-Apr-19
FRANCE,Europe,FR042-2016A251,Ecole Nationale Supérieure d'Architecture de Paris-La Villette,,,,15-Dec-2016,31-Dec-2021,,Faculty of Architecture,General Cooperation,,2-May-18
FRANCE,Europe,FR009-2005A251,Ecole Nationale Supérieure d'Architecture de Versailles,,,,11-May-2005,10-May-2008,0,Faculty of Architecture,General Cooperation,,9-Sep-15
FRANCE,Europe,FR009-2009A251,Ecole Nationale Supérieure d'Architecture de Versailles,,,,28-Apr-2009,27-Apr-2012,0,Faculty of Architecture,General Cooperation,,9-Sep-15
FRANCE,Europe,FR009-2012A251,Ecole Nationale Supérieure d'Architecture de Versailles,,,,27-Mar-2012,26-Mar-2015,,Faculty of Architecture,General Cooperation,No copy at OIA,13-Feb-18
FRANCE,Europe,FR009-2016A251,Ecole Nationale Supérieure d'Architecture de Versailles,,,,1-Apr-2016,31-Mar-2019,1,Faculty of Architecture,General Cooperation,,8-Jun-16
FRANCE,Europe,FR010-2009A211,Ecole Nationale Supérieure des Mines de Paris,,"ENSMP, MINES ParisTech",,27-Mar-2009,26-Mar-2012,0,Faculty of Engineering,General Cooperation,,9-Sep-15
FRANCE,Europe,FR011-2002B261,Ecole Supérieure de Commerce de Rouen,,ESC Rouen,,9-Mar-2002,8-Mar-2005,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
FRANCE,Europe,FR045-2016A261,EMLYON Business School,,,,23-Nov-2016,22-Nov-2021,,Faculty of Commerce and Accountancy,General Cooperation,,25-Jan-19
FRANCE,Europe,FR045-2016B261,EMLYON Business School,,,,23-Nov-2016,22-Nov-2021,,Faculty of Commerce and Accountancy,Student Exchange,,25-Jan-19
FRANCE,Europe,FR012-2000A231,"EPPRA, Ecole Polytechnique",,,,28-Nov-2000,unlimited,1,Faculty of Science,General Cooperation,For the Department of Physics,9-Sep-15
FRANCE,Europe,FR013-2011A261,ESCP Europe,,,,20-Jan-2011,auto renew,1,Faculty of Commerce and Accountancy,General Cooperation,,9-Sep-15
FRANCE,Europe,FR014-2009B261,ESSEC Business School,,,EPSCI,7-Jul-2009,6-Jul-2012,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
FRANCE,Europe,FR015-1995A22761,French National Centre of Scientific Research,,,Research Centre on the Anthropology of South China and the Indochinese Peninsula,6-Oct-1995,unlimited,1,Faculty of Arts/Institute of Thai Studies,General Cooperation,,9-Sep-15
FRANCE,Europe,FR016-2003B291,Groupe ESC Troyes,,,,23-May-2003,auto renew,0,Faculty of Economics,Student Exchange,,9-Sep-15
FRANCE,Europe,FR017-2002E631,Institut Francais du Petrole,,IFP,,24-Apr-2002,23-Apr-2007,,Petroleum and Petrochemical College,Collaboration on Program Development,,17-May-18
FRANCE,Europe,FR017-2007E631,Institut Francais du Petrole,,IFP,,23-Jan-2007,31-Dec-2009,0,Petroleum and Petrochemical College,Collaboration on Program Development,,9-Sep-15
FRANCE,Europe,FR017-2010E631,Institut Francais du Petrole,,IFP,,8-Mar-2010,7-Mar-2013,0,Petroleum and Petrochemical College,Collaboration on Program Development,,9-Sep-15
FRANCE,Europe,FR018-1985A001,Institut National Polytechnique de Toulouse,,INP Toulouse,Institut du Genie Chemique,17-Jun-1985,unlimited,1,University,General Cooperation,For Faculty of Science,9-Sep-15
FRANCE,Europe,FR019-2007A231,Institut Polytechnique LaSalle Beauvais,,,,13-Mar-2007,auto renew,,Faculty of Science,General Cooperation,,17-May-18
FRANCE,Europe,FR019-2008A001,Institut Polytechnique LaSalle Beauvais,,,,24-Jan-2008,auto renew,0,University,General Cooperation,,9-Sep-15
FRANCE,Europe,FR020-2010A001,Jean Monnet University of Saint-Etienne,,UJM,,17-Dec-2010,16-Dec-2015,0,University,General Cooperation,,9-Sep-15
FRANCE,Europe,FR020-2010B231,Jean Monnet University of Saint-Etienne,,UJM,,17-Dec-2010,16-Dec-2015,0,Faculty of Science,Student Exchange,,9-Sep-15
FRANCE,Europe,FR021-2005B291,Lille Catholic University,,,IESEG School of Management,28-Jul-2005,unlimited,1,Faculty of Economics,Student Exchange,,9-Sep-15
FRANCE,Europe,FR021-2011B291,Lille Catholic University,,,IESEG School of Management,28-Jun-2011,unlimited,1,Faculty of Economics,Student Exchange,For EBA,9-Sep-15
FRANCE,Europe,FR022-2003A261,Lille Graduate School of Management,,,,7-Jan-2003,6-Jan-2006,,Faculty of Commerce and Accountancy,General Cooperation,,17-May-18
FRANCE,Europe,FR023-1988A001,Louis Pasteur University (Strasbourg I),,,,20-Sep-1988,19-Sep-1993,,University,General Cooperation,,18-May-18
FRANCE,Europe,FR023-1994A001,Louis Pasteur University (Strasbourg I),,,,21-Feb-1994,20-Feb-1999,0,University,General Cooperation,,9-Sep-15
FRANCE,Europe,,Lyon Catholic University,,UCLy,,21-Nov-2018,20-Nov-2023,,University,Student Exchange,With details on faculty exchanges,24-Jan-19
FRANCE,Europe,FR024-2013A001,Montpellier 2 University,,UM2,,1-Nov-2013,31-Oct-2018,1,University,General Cooperation,"In January 2015, Montpellier 1 University and Montpellier 2 University merged into the Montpellier University (Université de Montpellier)",9-Sep-15
FRANCE,Europe,FR025-2002A001,"Nantes, University of",,,Faculty of Law and Political Science,30-Apr-2002,29-Apr-2007,0,University,General Cooperation,,9-Sep-15
FRANCE,Europe,FR026-2011D001,"Nice-Sophia Antipolis, University of",,,,4-Apr-2011,14-Jul-2014,0,University,Grant Contract/ Scholarship Program,Erasmus Mundus EMMA-EAST for the Faculty of Science,9-Sep-15
FRANCE,Europe,FR027-2001A251,"Paris 8, University of",,,Institut Francais d'Urbanisme,10-May-2001,9-May-2006,0,Faculty of Architecture,General Cooperation,,9-Sep-15
FRANCE,Europe,FR028-2010B291,Paris Dauphine University,,,,8-Nov-2010,auto renew,1,Faculty of Economics,Student Exchange,For EBA,9-Sep-15
FRANCE,Europe,FR029-2002B001,Paris Nanterre University,Université Paris Ouest-Nanterre La Défense,,,17-Aug-2002,16-Aug-2005,0,University,Student Exchange,"Primarily in the field of Law, Social Sciences, Humanity",9-Sep-15
FRANCE,Europe,FR029-2008B001,Paris Nanterre University,Université Paris Ouest-Nanterre La Défense,,,31-Mar-2008,30-Mar-2013,0,University,Student Exchange,"Primarily in the field of Law, Social Sciences, Humanity",9-Sep-15
FRANCE,Europe,FR029-2014B001,Paris Nanterre University,Université Paris Ouest-Nanterre La Défense,,,14-May-2014,13-May-2019,1,University,Student Exchange,"Primarily in the field of Law, Social Sciences, Humanity",9-Sep-15
FRANCE,Europe,FR029-2014B001,Paris Nanterre University,Université Paris Ouest-Nanterre La Défense,,,13-May-2019,12-May-2024,,University,Student Exchange,"Primarily in the field of Law, Social Sciences, Humanity",13-Feb-19
FRANCE,Europe,FR030-2017A001,Paris-Sud University,,,,10-Feb-2017,9-Feb-2022,1,University,General Cooperation,,25-Apr-17
FRANCE,Europe,FR030-2017B001,Paris-Sud University,,,,10-Feb-2017,9-Feb-2022,1,University,Student Exchange,"For Faculty of Science, With details on staff exchanges",25-Apr-17
FRANCE,Europe,FR031-2003A001,Paul Cezanne University Aix-Marseille III,"University of Law, Economics and Science of Aix-Marseille",,,13-Oct-2003,12-Oct-2008,,University,General Cooperation,,18-May-18
FRANCE,Europe,FR031-2009A001,Paul Cezanne University Aix-Marseille III,"University of Law, Economics and Science of Aix-Marseille",,,8-Dec-2009,7-Dec-2014,0,University,General Cooperation,On 1 January 2012 it merged with the University of Provence and the University of the Mediterranean to become Aix-Marseille University and renewed the Agreement in the name of Aix-Marseille University,9-Sep-15
FRANCE,Europe,FR032-2009B261,Reims Management School,,RMS,,24-Mar-2009,auto renew,1,Faculty of Commerce and Accountancy,Student Exchange,In 2013 it merged with Rouen Business School and became NEOMA Business School,9-Sep-15
FRANCE,Europe,FR033-2008A791,Research Institute on Contemporary Southeast Asia,,IRASEC,,15-Aug-2008,14-Aug-2010,0,Social Research Institute,General Cooperation,,9-Sep-15
FRANCE,Europe,FR043-2018A251,Sciences Po Lyon,Institut d'Etudes Politiques de Lyon,,,14-May-2018,auto renew,,Faculty of Architecture,General Cooperation,,31-May-18
FRANCE,Europe,FR034-2009B001,Sciences Po Paris,Institut d'Etudes Politiques de Paris,,,25-Nov-2009,auto renew,1,University,Student Exchange,,9-Sep-15
FRANCE,Europe,FR035-1997A001,"Sorbonne Nouvelle-Paris 3, University of",,,,17-Dec-1997,16-Dec-2002,,University,General Cooperation,,18-May-18
FRANCE,Europe,FR035-2004A001,"Sorbonne Nouvelle-Paris 3, University of",,,,15-Nov-2004,14-Nov-2009,0,University,General Cooperation,,9-Sep-15
FRANCE,Europe,FR035-2009A001,"Sorbonne Nouvelle-Paris 3, University of",,,,15-Nov-2009,15-Nov-2014,0,University,General Cooperation,,9-Sep-15
FRANCE,Europe,FR036-2002A261,Telecom & Management SudParis,"Institut National des Telecommunications, Evry",,,10-Jun-2002,unlimited,1,Faculty of Commerce and Accountancy,General Cooperation,,9-Sep-15
FRANCE,Europe,FR037-2009A211,Telecom Bretagne,Ecole Nationale Supérieure des Télécommunications de Bretagne,,,2-Mar-2009,1-Mar-2014,0,Faculty of Engineering,General Cooperation,,9-Sep-15
FRANCE,Europe,FR038-2009A001,"Toulouse, the University of",,,,17-Nov-2009,16-Nov-2014,0,University,General Cooperation,With details on student exchange and other collaborations,9-Sep-15
FRANCE,Europe,FR038-2014A001,"Toulouse, the University of",,,,26-Nov-2014,26-Nov-2019,1,University,General Cooperation,With details on student exchange and other collaborations,9-Sep-15
FRANCE,Europe,FR039-2009B261,Toulouse Business School,,ESC Toulouse,,21-Jul-2009,20-Jul-2014,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
FRANCE,Europe,FR040-2014A001,"Toulouse Jean Jaures, University of",Université de Toulouse II-Le Mirail,,,26-Nov-2014,25-Nov-2019,1,University,General Cooperation,,9-Sep-15
FRANCE,Europe,FR041-2009A001,"Western Brittany, University of",,UBO,,15-Dec-2009,14-Dec-2014,0,University,General Cooperation,Particularly in the field of Law and Administrative Science,9-Sep-15
GERMANY,Europe,DE001-2008E001,Albert Ludwigs University of Freiburg,,,,12-Nov-2008,31-Jul-2014,0,University,Collaboration on Program Development,,9-Sep-15
GERMANY,Europe,DE001-2010A001,Albert Ludwigs University of Freiburg,,,,2-Jul-2010,1-Jul-2013,0,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE001-2014A001,Albert Ludwigs University of Freiburg,,,,4-Jun-2014,3-Jun-2019,0,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE001-2016A231,Albert Ludwigs University of Freiburg,,,,16-May-2016,15-May-2021,1,Faculty of Science,General Cooperation,,3-Jun-16
GERMANY,Europe,DE002-2009B261,"Augsburg, University of",,,,11-Nov-2009,31-Dec-2012,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
GERMANY,Europe,DE037-2016A001,"Bayreuth, University of",,,,13-Dec-2016,12-Dec-2021,1,University,General Cooperation,,4-Jan-17
GERMANY,Europe,DE037-2016C001,"Bayreuth, University of",,,,13-Dec-2016,12-Dec-2021,1,University,Faculty/Researchers Exchange,,4-Jan-17
GERMANY,Europe,DE037-2016B001,"Bayreuth, University of",,,,13-Dec-2016,12-Dec-2021,1,University,Student Exchange,,4-Jan-17
GERMANY,Europe,DE003-1985A001,"Bielefeld, University of",,,Faculty of Sociology and Sociology of Development Research Centre,2-Aug-1985,auto renew,1,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE004-2009B291,Bremen University of Applied Sciences,,,,12-Jan-2009,auto renew,1,Faculty of Economics,Student Exchange,,9-Sep-15
GERMANY,Europe,DE005-2010A001,Chemnitz University of Technology,,,,28-Jun-2010,27-Jun-2015,0,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE005-2014B211,Chemnitz University of Technology,,,Faculty of Mechanical Engineering,10-Nov-2014,9-Nov-2019,1,Faculty of Engineering,Student Exchange,,9-Sep-15
GERMANY,Europe,DE005-2015A001,Chemnitz University of Technology,,,,14-Aug-2015,13-Aug-2020,1,University,General Cooperation,With details on student and staff exchanges,9-Sep-15
GERMANY,Europe,DE031-2012A001,Clausthal University of Technology,,,,5-Oct-2012,4-Oct-2017,0,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE031-2012B001,Clausthal University of Technology,,,,5-Oct-2012,4-Oct-2017,0,University,Student Exchange,,9-Sep-15
GERMANY,Europe,DE033-2013B261,"Cologne, University of",,,"Faculty of Management, Economics, and Social Sciences",12-Nov-2013,11-Nov-2016,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
GERMANY,Europe,DE034-2013B291,"Erlangen-Nurnberg, University of",,,,12-Aug-2013,auto renew,1,Faculty of Economics,Student Exchange,,9-Sep-15
GERMANY,Europe,DE006-2002B261,European Business School,,EBS,,21-Aug-2002,31-Dec-2005,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
GERMANY,Europe,DE007-1991E991,"Federal Armed Forces Munich, University of the",,,"Institute for Physics, Faculty of Electrical Engineering",27-Sep-1991,n/a,1,Graduate School and Faculty of Engineering,Collaboration on Program Development,,9-Sep-15
GERMANY,Europe,DE008-1992H211,Fraunhofer Institute for Manufacturing Engineering and Automation,,,,11-Dec-1992,unlimited,1,Faculty of Engineering,PhD Joint Supervision,,9-Sep-15
GERMANY,Europe,DE009-2009A001,Freie Universität Berlin,,,,27-Jul-2009,auto renew,1,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE010-2010B291,Goethe University Frankfurt,,,Faculty of Economics and Business Administration,13-Jul-2010,12-Jul-2015,0,Faculty of Economics,Student Exchange,,9-Sep-15
GERMANY,Europe,DE011-2010B291,Hamburg University of Applied Sciences,,,,1-Feb-2010,31-Jan-2015,0,Faculty of Economics,Student Exchange,,9-Sep-15
GERMANY,Europe,DE011-2015B291,Hamburg University of Applied Sciences,,,,24-Mar-2015,auto renew,1,Faculty of Economics,Student Exchange,,9-Sep-15
GERMANY,Europe,DE012-1999A231,"Heidelberg, University of ",,,,4-Aug-1999,unlimited,1,Faculty of Science,General Cooperation,,9-Sep-15
GERMANY,Europe,DE013-1996A371,"Hohenheim, University of",,,Institute for Biological Chemistry and Nutrition,23-Sep-1996,unlimited,1,Faculty of Allied Health Sciences,General Cooperation,,9-Sep-15
GERMANY,Europe,DE013-2015A291,"Hohenheim, University of",,,"Faculty of Business, Economics and Social Sciences",1-Sep-2015,auto renew,1,Faculty of Economics,General Cooperation,,24-Sep-15
GERMANY,Europe,DE013-2015B291,"Hohenheim, University of",,,"Faculty of Business, Economics and Social Sciences",1-Sep-2015,30-Aug-2018,0,Faculty of Economics,Student Exchange,,24-Sep-15
GERMANY,Europe,DE013-2018B291,"Hohenheim, University of",,,"Faculty of Business, Economics and Social Sciences",23-Oct-2018,22-Oct-2021,1,Faculty of Economics,Student Exchange,,7-Dec-18
GERMANY,Europe,DE014-2010A001,Humboldt Universitat zu Berlin,,,,14-Sep-2010,15-Nov-2015,0,University,General Cooperation,Replaced by the new agreement signed on 16-Nov-15,9-Sep-15
GERMANY,Europe,DE014-2013G001,Humboldt Universitat zu Berlin,,,,5-Jul-2013,unlimited,1,University,Others: Shared Master's Program in Global Studies,,9-Sep-15
GERMANY,Europe,DE014-2015A001,Humboldt Universitat zu Berlin,,,,16-Nov-2015,auto renew,1,University,General Cooperation,,26-Nov-15
GERMANY,Europe,DE014-2015B001,Humboldt Universitat zu Berlin,,,,16-Nov-2015,15-Nov-2020,1,University,Student Exchange,2 of 5 places of exchange reserved for Faculty of Economics,26-Nov-15
GERMANY,Europe,DE038-2018A291,Julius Maximilian University of Wurzburg,,,,28-Sep-2018,27-Sep-2023,1,Faculty of Economics,General Cooperation,,22-Nov-18
GERMANY,Europe,DE038-2018B291,Julius Maximilian University of Wurzburg,,,,28-Sep-2018,27-Sep-2023,1,Faculty of Economics,Student Exchange,,22-Nov-18
GERMANY,Europe,DE015-1998A231,"Karlsruhe, Center for Art and Media",,,,6-May-1998,auto renew,1,Faculty of Science,General Cooperation,,9-Sep-15
GERMANY,Europe,DE016-2005A211,"Kassel, the University of",,,The University of Kassel (School of Civil Engineering),9-Aug-2005,8-Aug-2009,0,Faculty of Engineering,General Cooperation,,9-Sep-15
GERMANY,Europe,DE017-2005A781,Leipzig Graduate School of Management,,,,13-Dec-2005,unlimited,1,SASIN,General Cooperation,,9-Sep-15
GERMANY,Europe,DE018-2009B221,Ludwig-Maximilian University of Munich,,,Faculty of Cultural Sciences,9-Aug-2009,8-Aug-2014,0,Faculty of Arts,Student Exchange,,9-Sep-15
GERMANY,Europe,DE018-2010B001,Ludwig-Maximilian University of Munich,,,,11-Jun-2010,10-Jun-2015,0,University,Student Exchange,,9-Sep-15
GERMANY,Europe,DE018-2011B281,Ludwig-Maximilian University of Munich,,,Faculty of Social Sciences,3-Feb-2011,2-Feb-2016,0,Faculty of Communication Arts,Student Exchange,,9-Sep-15
GERMANY,Europe,DE018-2015B001,Ludwig-Maximilian University of Munich,,,,14-Aug-2015,13-Aug-2020,1,University,Student Exchange,,9-Sep-15
GERMANY,Europe,DE018-2015B002,Ludwig-Maximilian University of Munich,,,,9-Sep-2015,31-Dec-2017,0,University,Student Exchange,Erasmus+,27-Nov-15
GERMANY,Europe,DE018-2016B001,chu,,,,12-Oct-2016,31-Jul-2018,0,University,Student Exchange,Erasmus+,14-Dec-16
GERMANY,Europe,DE018-2017B001,Ludwig-Maximilian University of Munich,,,,20-Sep-2017,31-Dec-2019,1,University,Student Exchange,Erasmus+,29-Sep-17
GERMANY,Europe,DE019-1998A291,"Mannheim, University of",,,Faculty of Economics,31-Aug-1998,auto renew,1,Faculty of Economics,General Cooperation,,9-Sep-15
GERMANY,Europe,DE019-2002B261,"Mannheim, University of",,,School of Business Administration,24-Sep-2002,unlimited,1,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
GERMANY,Europe,DE019-2010B291,"Mannheim, University of",,,Faculty of Economics,17-Feb-2010,auto renew,1,Faculty of Economics,Student Exchange,,9-Sep-15
GERMANY,Europe,DE020-1999A261,Pforzheim University of Applied Sciences,,,Business School,23-Aug-1999,22-Aug-2004,0,Faculty of Commerce and Accountancy,General Cooperation,,9-Sep-15
GERMANY,Europe,DE021-1993A001,Reutlingen University,,,Former name: Fachhochschule für Technik und Wirtschaft Reutlingen,15-Nov-1993,auto renew,1,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE021-1999F231,Reutlingen University,,,Department of Applied Chemistry,16-Aug-1999,unlimited,1,Faculty of Science,Research Collaboration / Joint Research,,9-Sep-15
GERMANY,Europe,DE022-2005A261,RWTH Aachen University,,,Faculty of Economics & Business Administration,18-May-2005,auto renew,1,Faculty of Commerce and Accountancy,General Cooperation,,9-Sep-15
GERMANY,Europe,,RWTH Aachen University,,,,25-Mar-2019,24-Mar-2024,,,General Cooperation,,17-Apr-19
GERMANY,Europe,,RWTH Aachen University,,,,25-Mar-2019,24-Mar-2024,,,Student Exchange,,17-Apr-19
GERMANY,Europe,DE022-2012A001,RWTH Aachen University,,,,9-Nov-2012,8-Nov-2017,0,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE022-2012B001,RWTH Aachen University,,,,9-Nov-2012,8-Nov-2015,0,University,Student Exchange,,9-Sep-15
GERMANY,Europe,DE023-2001A221,"Siegen, the University of",,,,1-Aug-2001,31-Jul-2006,0,Faculty of Arts,General Cooperation,,9-Sep-15
GERMANY,Europe,DE023-2006A221,"Siegen, the University of",,,,3-Aug-2006,2-Aug-2011,0,Faculty of Arts,General Cooperation,,9-Sep-15
GERMANY,Europe,DE035-2016A001,"Stuttgart, University of",,,,12-May-2016,11-May-2021,1,University,General Cooperation,,25-May-16
GERMANY,Europe,DE035-2016B001,"Stuttgart, University of",,,,12-May-2016,auto renew,1,University,Student Exchange,,25-May-16
GERMANY,Europe,,Technische Universitat Bergakademie Freiberg,Freiberg University of Mining and Technology,,,20-Feb-2019,unlimited,1,Faculty of Engineering,General Cooperation,,11-Mar-19
GERMANY,Europe,DE024-2006A251,Technische Universität Berlin,,,Faculty VI - Planning - Building - Environment,6-Oct-2006,5-Oct-2011,0,Faculty of Architecture,General Cooperation,,9-Sep-15
GERMANY,Europe,DE024-2011A001,Technische Universität Berlin,,,,22-Jul-2011,22-Jul-2016,0,University,General Cooperation,CU requested for renewal but TU Berlin said there must be ongoing cooperation projects in at least 2-3 fields of study,9-Sep-15
GERMANY,Europe,DE025-1992A001,Technische Universitat Darmstadt,,TU Darmstadt,,10-Feb-1992,9-Feb-1995,0,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE025-2001A001,Technische Universitat Darmstadt,,TU Darmstadt,,11-Oct-2001,10-Oct-2004,0,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE025-2014A001,Technische Universitat Darmstadt,,TU Darmstadt,,20-Oct-2014,19-Oct-2017,0,University,General Cooperation,With details on Student and Faculty Exchange,9-Sep-15
GERMANY,Europe,DE025-2017A001,Technische Universitat Darmstadt,,TU Darmstadt,,6-Nov-2017,1-Nov-2022,1,University,General Cooperation,With details on Student and Faculty Exchange,
GERMANY,Europe,DE036-2016B001,Technische Universität Dresden,,,,9-Jun-2016,auto renew,1,University,Student Exchange,,27-Jun-16
GERMANY,Europe,DE026-2009B001,Technische Universität Munchen,,,,30-Nov-2009,29-Nov-2014,0,University,Student Exchange,,9-Sep-15
GERMANY,Europe,DE026-2015B001,Technische Universität Munchen,,,,15-Jun-2015,29-Nov-2020,1,University,Student Exchange,,9-Sep-15
GERMANY,Europe,DE032-2012A001,TFH Georg Agricola,,,,27-Dec-2012,12-Nov-2015,0,University,General Cooperation,Replaced by the new agreement signed on 13-Nov-15,9-Sep-15
GERMANY,Europe,DE032-2012B001,TFH Georg Agricola,,,,27-Dec-2012,12-Nov-2015,0,University,Student Exchange,Replaced by the new agreement signed on 13-Nov-16,9-Sep-15
GERMANY,Europe,DE032-2015A001,TFH Georg Agricola,,,,13-Nov-2015,auto renew,1,University,General Cooperation,"For Geoengineering, Mining, Technical Business Administration, Mechanical Engineering, Mineral Processing, Electrical Engineering, Process Automation",26-Nov-15
GERMANY,Europe,DE027-1998A231,"Tubingen, University of",Eberhard Karls Universität Tübingen,,Faculty of Chemistry and Pharmacy,7-May-1998,auto renew,1,Faculty of Science,General Cooperation,,9-Sep-15
GERMANY,Europe,DE027-2005A001,"Tubingen, University of",Eberhard Karls Universität Tübingen,,,1-Jul-2005,30-Jun-2008,0,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE027-2005B001,"Tubingen, University of",Eberhard Karls Universität Tübingen,,,1-Jul-2005,30-Jun-2008,0,University,Student Exchange,,9-Sep-15
GERMANY,Europe,DE027-2012A001,"Tubingen, University of",Eberhard Karls Universität Tübingen,,,27-Sep-2012,auto renew,1,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE027-2012B001,"Tubingen, University of",Eberhard Karls Universität Tübingen,,,27-Sep-2012,auto renew,1,University,Student Exchange,,9-Sep-15
GERMANY,Europe,DE028-1984A001,"Ulm, University of  ",,,,19-Jul-1984,unlimited,1,University,General Cooperation,,9-Sep-15
GERMANY,Europe,DE029-2005A231,Westfälische Wilhelms-Universität Münster,University of Munster,,,12-Oct-2005,11-Oct-2008,0,Faculty of Science,General Cooperation,,9-Sep-15
GERMANY,Europe,DE029-2005B231,Westfälische Wilhelms-Universität Münster,University of Munster,,,12-Oct-2005,11-Oct-2008,0,Faculty of Science,Student Exchange,,9-Sep-15
GERMANY,Europe,DE029-2005C231,Westfälische Wilhelms-Universität Münster,University of Munster,,,12-Oct-2005,11-Oct-2008,0,Faculty of Science,Faculty/Researchers Exchange,,9-Sep-15
GERMANY,Europe,DE029-2015A231,Westfälische Wilhelms-Universität Münster,University of Munster,,Faculty of Geosciences,17-Aug-2015,16-Aug-2020,1,Faculty of Science,General Cooperation,,9-Sep-15
GERMANY,Europe,DE030-1997B781,WHU - Otto Beisheim School of Management,,,,18-Apr-1997,auto renew,1,SASIN,Student Exchange,,9-Sep-15
GERMANY,Europe,DE030-2010B261,WHU - Otto Beisheim School of Management,,,,19-Jul-2010,auto renew,1,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
HONG KONG,Asia,HK007-2015B251,Chu Hai College of Higher Education,,,"Department of Architecture, Faculty of Science and Engineering",1-Aug-2015,auto renew,1,Faculty of Architecture,Student Exchange,,8-Jun-16
HONG KONG,Asia,HK001-2005B291,City University of Hong Kong,,,Department of Economics and Finance,16-Aug-2005,auto renew,1,Faculty of Economics,Student Exchange,,9-Sep-15
HONG KONG,Asia,HK001-2013A001,City University of Hong Kong,,,,9-May-2013,auto renew,1,University,General Cooperation,For Faculty of Political Science and Communication Arts,9-Sep-15
HONG KONG,Asia,HK001-2013B001,City University of Hong Kong,,,,9-May-2013,5-Oct-2015,0,University,Student Exchange,Replaced by Agreement signed on 6-Oct-15,9-Sep-15
HONG KONG,Asia,HK001-2015B001,City University of Hong Kong,,,,6-Oct-2015,auto renew,1,University,Student Exchange,,14-Oct-15
HONG KONG,Asia,HK003-2007B261,Hong Kong Baptist University,,,School of Business,13-Jun-2007,unlimited,1,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
HONG KONG,Asia,HK003-2015A001,Hong Kong Baptist University,,,,10-Aug-2015,unlimited,1,University,General Cooperation,,9-Sep-15
HONG KONG,Asia,HK003-2015B001,Hong Kong Baptist University,,,,10-Aug-2015,auto renew,1,University,Student Exchange,,9-Sep-15
HONG KONG,Asia,HK004-2014B261,Hong Kong Polytechnic University,,,Faculty of Business,14-Mar-2014,13-Mar-2019,0,Faculty of Commerce and Accountancy,Student Exchange,,9-Sep-15
